"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
63,387,1,38.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
63,2307,1,230.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
65,3395,1,339.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
65,6439,1,643.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
65,7491,1,749.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
65,8237,1,823.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,6976,1,697.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,8122,1,812.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,8797,1,879.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,9646,1,964.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,11082,1,1108.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,12076,1,1207.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
67,13947,1,1394.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
68,11609,1,1160.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
68,13142,1,1314.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
68,14177,1,1417.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
68,15225,1,1522.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
70,12947,1,1294.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
70,15171,1,1517.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
71,2187,1,218.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
71,6282,1,628.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
72,553,1,55.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
72,1484,1,148.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
73,8017,1,801.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
73,8728,1,872.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
